"Pais","ISO3","codeUN","Año"
"Reino Unido","GBR","826","1215"
"Estados Unidos de América","USA","840","1789"
"Noruega","NOR","578","1814"
"Países Bajos","NLD","528","1814"
"Bélgica","BEL","056","1831"
"Nueva Zelandia","NZL","554","1852"
"Canadá","CAN","124","1867"
"Luxemburgo","LUX","442","1868"
"Tonga","TON","776","1875"
"Australia","AUS","036","1901"
"México","MEX","484","1917"
"Liechtenstein","LIE","438","1921"
"Líbano","LBN","422","1926"
"Austria","AUT","040","1934"
"Irlanda","IRL","372","1937"
"Letonia","LVA","428","1940"
"Islandia","ISL","352","1944"
"Japón","JPN","392","1946"
"Italia","ITA","380","1947"
"República de Corea","KOR","410","1948"
"Alemania","DEU","276","1949"
"Costa Rica","CRI","188","1949"
"India","IND","356","1949"
"Jordania","JOR","400","1952"
"Dinamarca","DNK","208","1953"
"Indonesia","IDN","360","1955"
"Malasia","MYS","458","1957"
"Francia","FRA","250","1958"
"Israel","ISR","376","1958"
"Brunei Darussalam","BRN","096","1959"
"Chipre","CYP","196","1960"
"Jamaica","JAM","388","1962"
"Kuwait","KWT","414","1962"
"Mónaco","MCO","492","1962"
"Samoa","WSM","882","1962"
"Singapur","SGP","702","1963"
"Barbados","BRB","052","1966"
"Botswana","BWA","072","1966"
"Uruguay","URY","858","1966"
"Mauricio","MUS","480","1968"
"Nauru","NRU","520","1968"
"Emiratos Árabes Unidos","ARE","784","1971"
"Bangladesh","BGD","050","1972"
"Camerún","CMR","120","1972"
"Panamá","PAN","591","1972"
"República Popular Democrática de Corea","PRK","408","1972"
"Bahamas","BHS","044","1973"
"Pakistán","PAK","586","1973"
"Granada","GRD","308","1974"
"Suecia","SWE","752","1974"
"Grecia","GRC","300","1975"
"Papua Nueva Guinea","PNG","598","1975"
"Santo Tomé y Príncipe","STP","678","1975"
"Argentina","ARG","032","1976"
"Portugal","PRT","620","1976"
"Trinidad y Tabago","TTO","780","1976"
"República Unida de Tanzanía","TZA","834","1977"
"Dominica","DMA","212","1978"
"España","ESP","724","1978"
"Islas Salomón","SLB","090","1978"
"Micronesia (Estados Federados de)","FSM","583","1978"
"Santa Lucía","LCA","662","1978"
"Sri Lanka","LKA","144","1978"
"Irán (República Islámica del)","IRN","364","1979"
"Islas Marshall","MHL","584","1979"
"Kiribati","KIR","296","1979"
"San Vicente y las Granadinas","VCT","670","1979"
