nombreTopico,eventos
Requisitos de los representantes de la primera cámara,1557
Estructura de los tribunales,820
Nombre/estructura del(os) ejecutivo(s),820
Estructura de las cámaras legislativas,815
Requisitos de los jueces del Tribunal Constitucional,815
Procedimiento de reforma constitucional,794
Reconocimiento constitucional del gabinete/ministros,785
Aprobación de legislación general,783
Selección de los representantes de la primera cámara,776
Restricciones al voto,769
Duración de un representante de la primera cámara,765
Inicio de legislación general,759
Protección contra la expropiación,759
Ratificación de tratados,755
Requisitos para nacionalización,752
Provisiones de emergencia,751
Edad mínima de los representantes de la primera cámara,749
Libertad de reunión,745
Selección del Jefe de Estado,743
Derecho internacional,742
Remoción de jueces de la corte Suprema/ordinaria,742
Inmunidad de legisladores,741
Requisitos para ser Jefe de Estado,733
Quórum de sesiones legislativas,723
Edad mínima del jefe de estado,715
Derecho a la privacidad,709
Libertad de asociación,706
Periodos legislativos extraordinarios,706
Garantía general de igualdad,703
Protección contra detención arbitraria,703
Reemplazo del jefe de estado,700
Juramentos de obediencia a la constitución,699
Libertad de expresión,698
Remoción del jefe de estado,697
Libertad religiosa,692
Empleos externos de los legisladores,691
Derecho a contar con propiedad,686
Protección frente a leyes ex post facto,686
Requisitos de los jueces de tribunales administrativos,686
Libertad de movimiento,676
Representante en relaciones exteriores,676
Destitución de legisladores (de forma individual),669
Principio de que no hay crimen sin ley,665
Procedimiento de anulación de veto,664
Derecho de petición,662
Protección contra la auto-incriminación,654
Facultad de decreto del jefe de estado,638
Límites a los periodos del jefe de estado,619
Educación gratuita,615
Preámbulo,614
Establece propiedad intelectual,606
Facultad de declarar la guerra,601
Interpretación constitucional,585
Servicio militar,579
Regulación de recolección de evidencia,568
Prohibición de la tortura,561
Referencias a la ciencia,561
Propiedad de recursos naturales,553
Nombramiento del jefe de las fuerzas armadas,551
Prohibición de la esclavitud,551
Edad mínima de los representantes de la segunda cámara,549
Dios u otras deidades,538
Reemplazo de legisladores,536
Vicepresidente o Vice Primer Ministro,535
Duración de un representante de la segunda cámara,534
Referencia al arte,527
Educación obligatoria,526
Condiciones para revocar la ciudadanía,519
Procurador general,519
Prohibición de tratos crueles,519
Selección de los representantes de la segunda cámara,518
Comisiones legislativas,515
Libertad de prensa,514
Derecho a la libertad académica,507
Derecho a escoger una ocupación,505
Libertad de opinión/pensamiento/consciencia,504
Derecho a la vida,502
Requisitos de los jueces de tribunales ordinarios,499
Independencia judicial,497
Voto secreto,483
Derecho de asociación a sindicatos,482
Derechos inalienables,479
Derecho a un abogado,465
Reclutamiento de servidores públicos,462
Líder de la primera cámara,459
Procedimiento de extradición,449
Derechos de los deudores,444
