nombreTopico,eventos
Requisitos de los representantes de la primera cámara,1541
Estructura de las cámaras legislativas,968
Nombre/estructura del(os) ejecutivo(s),968
Estructura de los tribunales,966
Ratificación de tratados,955
Selección de los representantes de la primera cámara,952
Restricciones al voto,920
Reconocimiento constitucional del gabinete/ministros,919
Derecho internacional,916
Líder de la primera cámara,910
Duración de un representante de la primera cámara,900
Inmunidad de legisladores,892
Inicio de legislación general,885
Selección del Jefe de Estado,868
Procedimiento de reforma constitucional,863
Periodos legislativos extraordinarios,800
Requisitos de los jueces del Tribunal Constitucional,785
Requisitos de los jueces de tribunales administrativos,783
Garantía general de igualdad,781
Remoción del jefe de gobierno,771
Protección contra la expropiación,767
Representante en relaciones exteriores,762
Selección del Jefe de Gobierno,759
Duración del cargo de Jefe de Gobierno,757
Edad mínima de los representantes de la primera cámara,749
Protección contra detención arbitraria,748
Libertad de expresión,743
Destitución de la legislatura,741
Inmunidad del jefe de estado,715
Libertad religiosa,713
Comisiones legislativas,705
Facultad de declarar la guerra,705
Remoción de jueces de la corte Suprema/ordinaria,703
Juramentos de obediencia a la constitución,695
Libertad de reunión,690
Derecho a la privacidad,689
Reemplazo del jefe de estado,689
Requisitos para ser Jefe de Estado,674
Aprobación de legislación general,672
Libertad de asociación,667
Sufragio Universal,665
Sesiones públicas o privadas,653
Provisiones de emergencia,650
Derecho de petición,646
Voto secreto,645
Bandera nacional,636
Interpretación constitucional,634
Principio de que no hay crimen sin ley,634
Idiomas oficiales o nacionales,633
Referencia al arte,612
Nombramiento del jefe de las fuerzas armadas,611
Educación obligatoria,596
Servicio militar,595
Independencia judicial,588
Organizaciones internacionales,577
Referencias a la ciencia,575
Requisitos de los jueces de tribunales ordinarios,575
Derecho a contar con propiedad,571
Supervisión legislativa del ejecutivo,570
Edad mínima del jefe de estado,567
Igualdad sin distinción de género,562
Referéndum,560
Remoción del jefe de estado,560
Quórum de sesiones legislativas,556
Rol del jefe de gobierno en la legislatura,552
Educación gratuita,551
Empleos externos de los legisladores,548
Derecho a juicios públicos,540
Libertad de prensa,538
Libertad de opinión/pensamiento/consciencia,532
Libertad de movimiento,531
Facultad de decreto del jefe de estado,529
Propiedad de recursos naturales,509
Tamaño de la primera cámara,505
Vicepresidente o Vice Primer Ministro,502
Preámbulo,491
Legislación nacional vrs. sub-nacional,488
Reunión conjunta de cámaras legislativas,472
Protección contra confinamiento injustificado,470
Selección de los representantes de la segunda cámara,468
Derecho a escoger una ocupación,467
Protección del medio ambiente,467
Protección frente a leyes ex post facto,458
Regulación de recolección de evidencia,453
Procurador general,452
Capital nacional,449
Telecomunicaciones,442
Derecho de asociación a sindicatos,435
Líder de la segunda cámara,434
Igualdad sin distinción de raza,432
Derechos inalienables,431
Igualdad sin distinción de religión,430
Dios u otras deidades,428
Establecimiento del Tribunal Constitucional,426
Destitución de legisladores (de forma individual),421
Requisitos para nacionalización,419
Límites a los periodos del jefe de estado,416
Reemplazo del jefe de gobierno,414
Apoyo estatal para personas con discapacidades,405
Prohibición de tratos crueles,394
Prohibición de la tortura,393
Establecimiento de tribunales administrativos,388
Apoyo estatal para adultos mayores,377
Religión oficial,373
Derecho a un abogado,372
Derecho internacional consuetudinario,367
Dignidad humana,367
Procedimiento de anulación de veto,363
Prohibición de la pena de muerte,356
Protección del uso del idioma,355
Establecimiento de tribunales militares,354
Protección de personas sin patria,344
Banco central,343
Duración del cargo de Jefe de Estado,341
Acciones administrativas ultra-vires,334
Derecho a la cultura,334
Derechos de los menores de edad,330
Derecho a la libertad académica,329
Facultad de decreto del jefe de gobierno,329
Grupo(s) regionales,329
Prohibición de la esclavitud,328
Revisión federal de legislación sub-nacional,327
Duración de un representante de la segunda cámara,326
Jurados obligatorios,326
Derecho a la vida,325
Facultades del Tribunal Constitucional,325
Apoyo estatal para desempleados,322
Establece propiedad intelectual,321
Derecho a juicios expeditos,317
Radio,312
Establecimiento de un consejo judicial,306
Derecho a igualdad salarial,302
Edad mínima de los representantes de la segunda cámara,298
Separación de iglesia y Estado,296
Igualdad sin distinción de estatus social,287
Derecho a formar partidos políticos,280
Órganos consultivos del Jefe de Estado,277
Televisión,276
Derecho a proteger la propia reputación,275
Ombudsman,275
Igualdad sin distinción de fe o creencias,272
Igualdad sin distinción de idioma,269
Derecho a la objeción de conciencia,265
Igualdad sin distinción de origen,265
Igualdad sin distinción de nacionalidad,263
Presunción de inocencia,263
Súper-mayoría necesaria para aprobar legislación,263
Derecho a descanso y ocio,262
Disposiciones constitucionales no sujetas a reforma,258
Procedimiento de extradición,258
Apoyo estatal para menores de edad,256
Duración de un juez del Tribunal Constitucional,242
Inmunidad del jefe de gobierno,239
Derecho a establecer un negocio,237
Duración de un juez de un tribunal ordinario,234
Secesión de territorio,234
Referencia a la historia del país,223
Derecho a huelga,221
Derecho a libertad durante la duración de un proceso penal,221
Himno nacional,220
Tamaño de la segunda cámara,218
Remuneración de los legisladores,216
Acceso a la educación superior,213
Derecho a la información,207
Derecho del acusado a ser juzgado en su idioma nativo,206
Edad mínima del jefe de gobierno,202
Restricciones a derechos de grupos,198
Derecho a un juicio justo,194
Edad de jubilación forzosa de los jueces,192
Prohibición de juzgar dos veces por la misma causa,186
Publicación de deliberaciones,185
Tribunales para juzgar a servidores públicos,184
Integración de comunidades étnicas,183
Reclutamiento de servidores públicos,182
Partidos políticos prohibidos,175
Censos,172
Derecho a formar una familia,172
Asistencia de los legisladores,170
Obligación de pagar impuestos,168
Derecho a un mercado competitivo,166
Programación de elecciones,165
Igualdad sin distinción de color de piel,160
Igualdad sin distinción de estatus financiero,159
Límites relativos al empleo de menores de edad,155
Límite a los periodos de los representantes de la primera cámara,152
Igualdad marital,150
Derecho a un ambiente laboral seguro,147
Derecho de transferencia de propiedad,143
Protección contra la auto-incriminación,141
Límite a los periodos de los jueces en el Tribunal Constitucional,139
Garantías de debido proceso,138
Intelectuales políticos y personajes históricos,138
Anexión de territorio,137
Referencia a la fraternidad/solidaridad,137
Igualdad sin distinción de partido político,136
Límite a los periodos de los jueces en tribunales ordinarios,134
Igualdad de personas con discapacidades,132
Planes económicos,127
Derecho a un estándar razonable de vida,125
Obligación de trabajar,123
Condiciones para revocar la ciudadanía,120
Establecimiento de tribunales laborales,120
Igualdad sin distinción de origen familiar,120
Remoción de un juez del Tribunal Constitucional,119
Duración de un juez de un tribunal administrativo,118
Colonias,116
Derecho a albergue,115
Voto obligatorio,114
Derecho a la autodeterminación,112
Regulación de partidos políticos,110
Secreto del votos legislativo,108
Límite a los periodos de los representantes de la segunda cámara,105
Derecho al desarrollo de la personalidad,92
Efecto vinculante de los derechos constitucionales,91
Establece la posibilidad de matrimonio civil,90
Opiniones de la Corte Suprema,89
Reemplazo de legisladores,86
Restricciones de entrada y salida,80
Establecimiento de tribunales eclesiásticos,79
Establecimiento de tribunales tributarios,78
Protección al consumidor,78
Financiamiento de campañas,74
Derecho de renunciar a la ciudadanía,73
Edad mínima de los jueces que forman parte de los tribunales ordinarios,73
Protección del salario de los jueces,73
Comisión de telecomunicaciones,67
Derecho al matrimonio,67
Lema nacional,66
Tratados internacionales de derechos humanos,62
Facultad para deportar a ciudadanos,61
Derecho al trabajo,58
Límite a los periodos de los jueces en tribunales administrativos,58
Precedente judicial,54
Partidos políticos predilectos/preferidos,52
Derecho a examinar evidencia/testigos,50
Derechos de los indígenas a auto-gobierno,46
Protección de derechos de las víctimas,43
Prohibición de castigos corporales,42
Opiniones del Tribunal Constitucional,41
Redistribución de la riqueza,41
Igualdad sin distinción de edad,40
Operación estatal de los medios,39
Derechos de los indígenas a ser representados,37
Edad mínima de los jueces que forman parte del Tribunal Constitucional,37
Cuotas de representación en la primera cámara,35
Derecho a disfrutar los beneficios de la ciencia,31
Crímenes del régimen previo,28
Declaración de independencia del ejecutivo,28
Derechos de los deudores,28
Privilegios para menores de edad en procesos criminales,26
Terrorismo,25
Igualdad sin distinción de orientación sexual,15
Límites a los periodos de jefe de gobierno,12
Comisión anti-corrupción,11
Estatus del derecho canónico (religioso),9
Derechos de los indígenas al voto,8
Edad mínima de los jueces que forman parte de tribunales administrativos,8
Nacionalidad de los grupos indígenas,8
Derecho a derrocar un gobierno,6
Derecho de amparo,4
Registro público de prisiones,4
Comisión de derechos humanos,2
Estatus fiscal de organizaciones religiosas,1
Requisito de publicidad de las remuneraciones,1
