nombreTopico,eventos
Requisitos de los representantes de la primera cámara,732
Estructura de las cámaras legislativas,372
Estructura de los tribunales,372
Nombre/estructura del(os) ejecutivo(s),372
Reconocimiento constitucional del gabinete/ministros,372
Procedimiento de reforma constitucional,371
Protección contra la expropiación,370
Requisitos de los jueces del Tribunal Constitucional,369
Requisitos para ser Jefe de Estado,369
Inicio de legislación general,368
Inmunidad de legisladores,366
Periodos legislativos extraordinarios,365
Edad mínima del jefe de estado,362
Provisiones de emergencia,359
Selección del Jefe de Estado,358
Restricciones al voto,356
Edad mínima de los representantes de la primera cámara,354
Remoción de jueces de la corte Suprema/ordinaria,353
Aprobación de legislación general,352
Ratificación de tratados,348
Requisitos para nacionalización,348
Remoción del jefe de estado,344
Procedimiento de anulación de veto,343
Selección de los representantes de la primera cámara,343
Duración de un representante de la primera cámara,342
Requisitos de los jueces de tribunales administrativos,342
Derecho de petición,341
Representante en relaciones exteriores,339
Derecho internacional,338
Libertad de asociación,335
Nombramiento del jefe de las fuerzas armadas,333
Empleos externos de los legisladores,332
Libertad de reunión,327
Reemplazo del jefe de estado,327
Límites a los periodos del jefe de estado,324
Facultad de declarar la guerra,321
Principio de que no hay crimen sin ley,320
Derecho a contar con propiedad,319
Juramentos de obediencia a la constitución,317
Facultad de decreto del jefe de estado,316
Garantía general de igualdad,313
Derecho a la privacidad,312
Educación gratuita,309
Servicio militar,303
Quórum de sesiones legislativas,302
Libertad religiosa,301
Preámbulo,301
Protección frente a leyes ex post facto,301
Duración de un representante de la segunda cámara,300
Edad mínima de los representantes de la segunda cámara,299
Interpretación constitucional,298
Libertad de movimiento,295
Reunión conjunta de cámaras legislativas,294
Libertad de expresión,288
Condiciones para revocar la ciudadanía,286
Protección contra detención arbitraria,285
Vicepresidente o Vice Primer Ministro,285
Derecho a escoger una ocupación,283
Prohibición de la esclavitud,280
Referencias a la ciencia,279
Destitución de legisladores (de forma individual),277
Protección contra la auto-incriminación,274
Derechos inalienables,271
Selección de los representantes de la segunda cámara,270
Procurador general,269
Establece propiedad intelectual,265
Regulación de recolección de evidencia,263
Comisiones legislativas,262
Dios u otras deidades,261
Libertad de opinión/pensamiento/consciencia,257
Requisitos de los jueces de tribunales ordinarios,256
Referencia al arte,252
Voto secreto,250
Prohibición de la tortura,243
Inmunidad del jefe de estado,242
Libertad de prensa,242
Propiedad de recursos naturales,242
Derecho a la libertad académica,233
Educación obligatoria,230
Derecho a la vida,226
Reclutamiento de servidores públicos,221
Derecho a establecer un negocio,220
Derecho de asociación a sindicatos,208
Independencia judicial,203
Prohibición de tratos crueles,202
Acciones administrativas ultra-vires,200
Derecho a la cultura,198
Legislación nacional vrs. sub-nacional,197
Reemplazo de legisladores,197
Derecho a un abogado,193
Líder de la segunda cámara,192
Derecho a igualdad salarial,191
Establecimiento de tribunales militares,191
Referencia a la fraternidad/solidaridad,190
Revisión federal de legislación sub-nacional,188
Protección contra confinamiento injustificado,187
Banco central,185
Sesiones públicas o privadas,185
Capital nacional,184
Derechos de los deudores,184
Líder de la primera cámara,182
Protección del medio ambiente,181
Derecho a juicios públicos,180
Derecho a proteger la propia reputación,179
Dignidad humana,179
Apoyo estatal para personas con discapacidades,178
Derecho a huelga,177
Telecomunicaciones,177
Prohibición de la pena de muerte,175
Supervisión legislativa del ejecutivo,171
Bandera nacional,170
Referéndum,166
Límite a los periodos de los representantes de la primera cámara,165
Órganos consultivos del Jefe de Estado,162
Duración de un juez de un tribunal ordinario,161
Himno nacional,161
Televisión,161
Derecho a descanso y ocio,159
Religión oficial,158
Apoyo estatal para adultos mayores,156
Asistencia de los legisladores,156
Límite a los periodos de los representantes de la segunda cámara,155
Procedimiento de extradición,155
Organizaciones internacionales,150
Igualdad sin distinción de raza,149
Radio,148
Igualdad sin distinción de género,147
Presunción de inocencia,143
Opiniones de la Corte Suprema,142
Derechos de los menores de edad,141
Apoyo estatal para menores de edad,140
Voto obligatorio,140
Derecho a un ambiente laboral seguro,138
Estatus fiscal de organizaciones religiosas,137
Protección del salario de los jueces,136
Acceso a la educación superior,135
Sufragio Universal,132
Idiomas oficiales o nacionales,129
Derecho a formar partidos políticos,126
Establecimiento de un consejo judicial,126
Restricciones a derechos de grupos,126
Remuneración de los legisladores,124
Edad mínima de los jueces que forman parte de los tribunales ordinarios,123
Límite a los periodos de los jueces en tribunales ordinarios,122
Obligación de trabajar,121
Censos,120
Duración de un juez del Tribunal Electoral,116
Edad de jubilación forzosa de los jueces,114
Derecho a formar una familia,112
Derecho a libertad durante la duración de un proceso penal,112
Derecho a la información,110
Límites relativos al empleo de menores de edad,109
Igualdad sin distinción de origen,105
Integración de comunidades étnicas,103
Protección de personas sin patria,102
Igualdad marital,101
Garantías de debido proceso,100
Igualdad sin distinción de fe o creencias,98
Redistribución de la riqueza,98
Establecimiento del Tribunal Constitucional,96
Tamaño de la segunda cámara,96
Derecho a un mercado competitivo,95
Prohibición de juzgar dos veces por la misma causa,95
Duración de un juez del Tribunal Constitucional,94
Planes económicos,94
Obligación de pagar impuestos,93
Tamaño de la primera cámara,93
Derecho a juicios expeditos,92
Derecho a la objeción de conciencia,90
Apoyo estatal para desempleados,89
Disposiciones constitucionales no sujetas a reforma,89
Establece la posibilidad de matrimonio civil,88
Igualdad sin distinción de religión,88
Comisión de telecomunicaciones,87
Igualdad sin distinción de estatus social,87
Igualdad sin distinción de partido político,84
Protección al consumidor,83
Partidos políticos prohibidos,82
Efecto vinculante de los derechos constitucionales,81
Ombudsman,81
Protección del uso del idioma,81
Límite a los periodos de los jueces en el Tribunal Constitucional,80
Derecho de transferencia de propiedad,79
Establecimiento de tribunales administrativos,79
Súper-mayoría necesaria para aprobar legislación,79
Jurados obligatorios,78
Secesión de territorio,78
Declaración de independencia del ejecutivo,77
Separación de iglesia y Estado,73
Terrorismo,73
Derecho a albergue,72
Derecho a examinar evidencia/testigos,71
Derecho de amparo,71
Derecho a un estándar razonable de vida,70
Límite a los periodos de los jueces en el Tribunal Electoral,69
Derecho al desarrollo de la personalidad,68
Igualdad sin distinción de color de piel,66
Secreto del votos legislativo,66
Igualdad sin distinción de idioma,65
Operación estatal de los medios,65
Facultades del Tribunal Constitucional,64
Grupo(s) regionales,64
Remoción de un juez del Tribunal Constitucional,64
Destitución de la legislatura,63
Establecimiento de tribunales laborales,63
Derecho de renunciar a la ciudadanía,62
Duración del cargo de Jefe de Gobierno,58
Remoción del jefe de gobierno,58
Selección del Jefe de Gobierno,58
Derecho del acusado a ser juzgado en su idioma nativo,57
Edad mínima del jefe de gobierno,57
Prohibición de castigos corporales,56
Registro público de prisiones,51
Programación de elecciones,49
Colonias,45
Privilegios para menores de edad en procesos criminales,45
Derechos de los indígenas a auto-gobierno,44
Financiamiento de campañas,44
Rol del jefe de gobierno en la legislatura,44
Duración de un juez de un tribunal administrativo,42
Igualdad sin distinción de edad,42
Derecho internacional consuetudinario,41
Requisito de publicidad de las remuneraciones,41
Derecho a un juicio justo,35
Derechos de los indígenas al voto,34
Protección de derechos de las víctimas,34
Igualdad sin distinción de estatus financiero,33
Límite a los periodos de los jueces en tribunales administrativos,33
Restricciones de entrada y salida,33
Referencia a la historia del país,32
Derechos de los indígenas a ser representados,31
Edad mínima de los jueces que forman parte del Tribunal Constitucional,31
Facultad para deportar a ciudadanos,30
Igualdad sin distinción de nacionalidad,29
Requisitos de los jueces del Tribunal Electoral,27
Edad mínima de los jueces que forman parte de tribunales administrativos,26
Igualdad sin distinción de origen familiar,25
Derecho a derrocar un gobierno,23
Anexión de territorio,20
Estatus del derecho canónico (religioso),20
Derecho al trabajo,19
Inmunidad del jefe de gobierno,19
Intelectuales políticos y personajes históricos,18
Tratados internacionales de derechos humanos,17
Derecho a la autodeterminación,15
Derechos de los indígenas a no pagar impuestos,15
Regulación de partidos políticos,15
Publicación de deliberaciones,14
Derecho al matrimonio,13
Cuotas de representación en la primera cámara,10
Derecho a disfrutar los beneficios de la ciencia,10
Igualdad de personas con discapacidades,9
Establecimiento de tribunales tributarios,8
Límites a los periodos de jefe de gobierno,8
Comisión de derechos humanos,7
Reemplazo del jefe de gobierno,7
Derechos de indígenas a partidos políticos,6
Nacionalidad de los grupos indígenas,6
Precedente judicial,6
Derecho de indígenas a actividades ilegales,5
Edad mínima de los jueces que forman parte del Tribunal Electoral,5
Opiniones del Tribunal Constitucional,5
Derecho de portar armas,4
Igualdad sin distinción de orientación sexual,4
Tribunales para juzgar a servidores públicos,4
Comisión anti-corrupción,3
Establecimiento de tribunales eclesiásticos,3
Partidos políticos predilectos/preferidos,3
Duración del cargo de Jefe de Estado,1
Facultad de decreto del jefe de gobierno,1
