nombreTopico,eventos
Requisitos de los representantes de la primera cámara,5391
Nombre/estructura del(os) ejecutivo(s),3249
Estructura de las cámaras legislativas,3233
Estructura de los tribunales,3189
Reconocimiento constitucional del gabinete/ministros,3145
Selección de los representantes de la primera cámara,3089
Procedimiento de reforma constitucional,2992
Selección del Jefe de Estado,2975
Duración de un representante de la primera cámara,2955
Ratificación de tratados,2894
Inicio de legislación general,2856
Requisitos de los jueces del Tribunal Constitucional,2853
Derecho internacional,2833
Restricciones al voto,2819
Garantía general de igualdad,2795
Requisitos de los jueces de tribunales administrativos,2729
Periodos legislativos extraordinarios,2683
Juramentos de obediencia a la constitución,2663
Inmunidad de legisladores,2652
Aprobación de legislación general,2649
Protección contra la expropiación,2648
Provisiones de emergencia,2632
Libertad de expresión,2607
Libertad religiosa,2589
Líder de la primera cámara,2570
Libertad de reunión,2556
Reemplazo del jefe de estado,2536
Libertad de asociación,2476
Requisitos para ser Jefe de Estado,2476
Remoción de jueces de la corte Suprema/ordinaria,2466
Edad mínima de los representantes de la primera cámara,2459
Comisiones legislativas,2361
Edad mínima del jefe de estado,2328
Protección contra detención arbitraria,2328
Derecho a la privacidad,2312
Nombramiento del jefe de las fuerzas armadas,2277
Preámbulo,2246
Interpretación constitucional,2245
Derecho a contar con propiedad,2244
Quórum de sesiones legislativas,2239
Representante en relaciones exteriores,2219
Remoción del jefe de estado,2217
Libertad de movimiento,2183
Principio de que no hay crimen sin ley,2122
Protección frente a leyes ex post facto,2106
Independencia judicial,2056
Destitución de legisladores (de forma individual),2051
Inmunidad del jefe de estado,2033
Destitución de la legislatura,2002
Requisitos de los jueces de tribunales ordinarios,1991
Facultad de declarar la guerra,1988
Libertad de opinión/pensamiento/consciencia,1958
Voto secreto,1951
Idiomas oficiales o nacionales,1947
Facultad de decreto del jefe de estado,1915
Empleos externos de los legisladores,1897
Remoción del jefe de gobierno,1876
Derecho de petición,1860
Duración del cargo de Jefe de Gobierno,1851
Igualdad sin distinción de género,1847
Selección del Jefe de Gobierno,1813
Procedimiento de anulación de veto,1812
Requisitos para nacionalización,1811
Límites a los periodos del jefe de estado,1794
Procurador general,1785
Igualdad sin distinción de raza,1771
Libertad de prensa,1769
Vicepresidente o Vice Primer Ministro,1761
Servicio militar,1749
Propiedad de recursos naturales,1744
Bandera nacional,1743
Sufragio Universal,1729
Referencias a la ciencia,1727
Dios u otras deidades,1719
Derecho de asociación a sindicatos,1690
Educación gratuita,1689
Prohibición de la esclavitud,1687
Prohibición de la tortura,1647
Referencia al arte,1646
Derecho a juicios públicos,1633
Derecho a la vida,1619
Organizaciones internacionales,1618
Derecho a un abogado,1612
Educación obligatoria,1602
Prohibición de tratos crueles,1591
Regulación de recolección de evidencia,1586
Igualdad sin distinción de religión,1551
Protección del medio ambiente,1508
Capital nacional,1504
Sesiones públicas o privadas,1494
Referéndum,1487
Selección de los representantes de la segunda cámara,1462
Tamaño de la primera cámara,1461
Derechos inalienables,1455
Telecomunicaciones,1445
Derecho a escoger una ocupación,1437
Dignidad humana,1403
Establecimiento de un consejo judicial,1370
Apoyo estatal para personas con discapacidades,1354
Apoyo estatal para adultos mayores,1349
Rol del jefe de gobierno en la legislatura,1336
Protección contra la auto-incriminación,1321
Derecho a la cultura,1301
Presunción de inocencia,1284
Supervisión legislativa del ejecutivo,1266
Duración de un representante de la segunda cámara,1262
Establece propiedad intelectual,1258
Legislación nacional vrs. sub-nacional,1255
Edad mínima de los representantes de la segunda cámara,1232
Igualdad sin distinción de origen,1208
Establecimiento de tribunales militares,1202
Reunión conjunta de cámaras legislativas,1200
Órganos consultivos del Jefe de Estado,1193
Prohibición de juzgar dos veces por la misma causa,1188
Acciones administrativas ultra-vires,1168
Procedimiento de extradición,1153
Asistencia de los legisladores,1147
Líder de la segunda cámara,1107
Derecho a formar partidos políticos,1096
Derecho a la libertad académica,1087
Protección contra confinamiento injustificado,1087
Derecho a igualdad salarial,1082
Himno nacional,1047
Apoyo estatal para menores de edad,1046
Religión oficial,1022
Protección del salario de los jueces,1014
Derecho a juicios expeditos,996
Referencia a la fraternidad/solidaridad,989
Derecho a descanso y ocio,987
Igualdad sin distinción de fe o creencias,967
Obligación de pagar impuestos,967
Igualdad sin distinción de estatus social,965
Radio,965
Reclutamiento de servidores públicos,965
Derecho a huelga,964
Condiciones para revocar la ciudadanía,961
Televisión,960
Reemplazo de legisladores,956
Protección del uso del idioma,953
Protección de personas sin patria,952
Derecho a establecer un negocio,925
Establecimiento del Tribunal Constitucional,924
Banco central,912
Derecho a libertad durante la duración de un proceso penal,910
Edad de jubilación forzosa de los jueces,904
Remuneración de los legisladores,902
Derecho a un juicio justo,900
Disposiciones constitucionales no sujetas a reforma,900
Derechos de los menores de edad,893
Reemplazo del jefe de gobierno,882
Apoyo estatal para desempleados,876
Derecho a proteger la propia reputación,875
Censos,873
Derecho a un ambiente laboral seguro,844
Revisión federal de legislación sub-nacional,839
Duración de un juez de un tribunal ordinario,837
Separación de iglesia y Estado,834
Grupo(s) regionales,825
Tamaño de la segunda cámara,814
Derecho internacional consuetudinario,801
Establecimiento de tribunales administrativos,800
Prohibición de la pena de muerte,781
Derecho del acusado a ser juzgado en su idioma nativo,778
Límites relativos al empleo de menores de edad,778
Jurados obligatorios,742
Edad mínima del jefe de gobierno,736
Igualdad sin distinción de color de piel,732
Igualdad sin distinción de idioma,726
Límite a los periodos de los representantes de la primera cámara,724
Partidos políticos prohibidos,723
Obligación de trabajar,698
Secesión de territorio,679
Facultades del Tribunal Constitucional,671
Ombudsman,666
Súper-mayoría necesaria para aprobar legislación,658
Acceso a la educación superior,655
Derecho a examinar evidencia/testigos,651
Restricciones a derechos de grupos,648
Derecho a la información,626
Referencia a la historia del país,625
Duración de un juez del Tribunal Constitucional,620
Anexión de territorio,610
Igualdad marital,604
Derecho a la objeción de conciencia,587
Publicación de deliberaciones,582
Derecho a formar una familia,576
