nombrePais,Cantidad
República Dominicana,34
Venezuela (República Bolivariana de),25
Haití,24
Ecuador,23
Bolivia (Estado Plurinacional de),17
Perú,16
Honduras,15
Nicaragua,14
El Salvador,12
Chile,11
Costa Rica,11
Guatemala,11
Colombia,10
Cuba,9
México,9
Argentina,8
Brasil,8
Paraguay,6
Uruguay,6
Panamá,4
Suriname,4
Canadá,3
Guyana,3
Estados Unidos de América,2
Trinidad y Tabago,2
Antigua y Barbuda,1
Bahamas,1
Barbados,1
Belice,1
Dominica,1
Granada,1
Jamaica,1
Saint Kitts y Nevis,1
San Vicente y las Granadinas,1
Santa Lucía,1
