nombreTopico,constituciones
Requisitos de los representantes de la primera cámara,304
Estructura de las cámaras legislativas,186
Estructura de los tribunales,186
Nombre/estructura del(os) ejecutivo(s),186
Procedimiento de reforma constitucional,184
Garantía general de igualdad,183
Reconocimiento constitucional del gabinete/ministros,182
Selección de los representantes de la primera cámara,179
Selección del Jefe de Estado,175
Libertad de asociación,173
Libertad de expresión,173
Libertad de reunión,172
Derecho internacional,171
Libertad religiosa,171
Protección contra la expropiación,170
Ratificación de tratados,170
Duración de un representante de la primera cámara,169
Inicio de legislación general,169
Provisiones de emergencia,169
Restricciones al voto,165
Libertad de movimiento,161
Comisiones legislativas,160
Derecho a contar con propiedad,159
Derecho a la privacidad,158
Juramentos de obediencia a la constitución,158
Líder de la primera cámara,158
Reemplazo del jefe de estado,158
Igualdad sin distinción de género,157
Interpretación constitucional,157
Preámbulo,157
Libertad de opinión/pensamiento/consciencia,156
Aprobación de legislación general,154
Inmunidad de legisladores,154
Requisitos de los jueces del Tribunal Constitucional,153
Requisitos para ser Jefe de Estado,153
Prohibición de tratos crueles,151
Independencia judicial,150
Periodos legislativos extraordinarios,149
Protección contra detención arbitraria,149
Protección frente a leyes ex post facto,149
Protección del medio ambiente,148
Voto secreto,147
Prohibición de la tortura,146
Remoción de jueces de la corte Suprema/ordinaria,145
Requisitos de los jueces de tribunales administrativos,145
Edad mínima del jefe de estado,143
Remoción del jefe de estado,143
Edad mínima de los representantes de la primera cámara,142
Derecho a la vida,141
Derecho de asociación a sindicatos,140
Representante en relaciones exteriores,140
Igualdad sin distinción de raza,139
Idiomas oficiales o nacionales,138
Presunción de inocencia,138
Dignidad humana,137
Nombramiento del jefe de las fuerzas armadas,137
Quórum de sesiones legislativas,137
Derecho a un abogado,136
Destitución de legisladores (de forma individual),134
Remoción del jefe de gobierno,131
Duración del cargo de Jefe de Gobierno,130
Organizaciones internacionales,129
Prohibición de la esclavitud,129
Referéndum,128
Selección del Jefe de Gobierno,128
Límites a los periodos del jefe de estado,126
Principio de que no hay crimen sin ley,126
Derecho a juicios públicos,125
Establecimiento de un consejo judicial,125
Igualdad sin distinción de religión,124
Bandera nacional,123
Destitución de la legislatura,123
Inmunidad del jefe de estado,123
Apoyo estatal para personas con discapacidades,122
Procurador general,122
Referencias a la ciencia,122
Sufragio Universal,122
Derecho a la cultura,119
Educación gratuita,119
Libertad de prensa,119
Vicepresidente o Vice Primer Ministro,119
Derechos inalienables,117
Empleos externos de los legisladores,117
Derecho de petición,116
Procedimiento de anulación de veto,116
Propiedad de recursos naturales,116
Educación obligatoria,115
Regulación de recolección de evidencia,115
Apoyo estatal para adultos mayores,114
Referencia al arte,111
Dios u otras deidades,109
Requisitos de los jueces de tribunales ordinarios,109
Requisitos para nacionalización,109
Derecho a formar partidos políticos,108
Facultad de declarar la guerra,108
Facultad de decreto del jefe de estado,108
Tamaño de la primera cámara,108
Derecho a escoger una ocupación,105
Himno nacional,105
Apoyo estatal para menores de edad,104
Servicio militar,103
Capital nacional,101
Procedimiento de extradición,100
Protección contra la auto-incriminación,99
Derecho a un juicio justo,98
Sesiones públicas o privadas,98
Derecho a juicios expeditos,97
Igualdad sin distinción de origen,95
Prohibición de juzgar dos veces por la misma causa,95
Telecomunicaciones,94
Órganos consultivos del Jefe de Estado,92
Derechos de los menores de edad,90
Igualdad sin distinción de fe o creencias,90
Derecho a huelga,89
Protección del uso del idioma,89
Establecimiento del Tribunal Constitucional,88
Igualdad sin distinción de estatus social,88
Rol del jefe de gobierno en la legislatura,86
Acciones administrativas ultra-vires,83
Banco central,83
Derecho a igualdad salarial,83
Protección de personas sin patria,82
Establece propiedad intelectual,81
Reemplazo del jefe de gobierno,81
Selección de los representantes de la segunda cámara,80
Derecho a la información,79
Referencia a la fraternidad/solidaridad,79
Supervisión legislativa del ejecutivo,79
Derecho a la libertad académica,78
Obligación de pagar impuestos,78
Igualdad sin distinción de idioma,75
Televisión,75
Derecho a establecer un negocio,74
Derecho a un ambiente laboral seguro,74
Duración de un juez del Tribunal Constitucional,74
Derecho a descanso y ocio,73
Duración de un representante de la segunda cámara,73
Establecimiento de tribunales militares,73
Disposiciones constitucionales no sujetas a reforma,71
Protección contra confinamiento injustificado,71
Derecho del acusado a ser juzgado en su idioma nativo,70
Facultades del Tribunal Constitucional,69
Límites relativos al empleo de menores de edad,69
Derecho internacional consuetudinario,68
Grupo(s) regionales,68
Igualdad sin distinción de color de piel,68
Legislación nacional vrs. sub-nacional,68
Radio,68
Asistencia de los legisladores,67
Edad mínima de los representantes de la segunda cámara,67
Líder de la segunda cámara,67
Ombudsman,67
Prohibición de la pena de muerte,67
Apoyo estatal para desempleados,65
Igualdad marital,65
Edad de jubilación forzosa de los jueces,63
Reunión conjunta de cámaras legislativas,63
Separación de iglesia y Estado,62
Derecho a libertad durante la duración de un proceso penal,61
Derecho a proteger la propia reputación,58
Igualdad sin distinción de partido político,58
Reclutamiento de servidores públicos,58
Derecho a examinar evidencia/testigos,57
Reemplazo de legisladores,57
Derecho a formar una familia,56
Establecimiento de tribunales administrativos,55
Acceso a la educación superior,54
Derecho a albergue,54
Obligación de trabajar,54
Partidos políticos prohibidos,54
Secesión de territorio,54
Edad mínima del jefe de gobierno,52
Protección del salario de los jueces,52
Efecto vinculante de los derechos constitucionales,50
Remuneración de los legisladores,50
Límite a los periodos de los jueces en el Tribunal Constitucional,49
Revisión federal de legislación sub-nacional,49
Tratados internacionales de derechos humanos,49
Derecho a la objeción de conciencia,48
Tamaño de la segunda cámara,48
Duración de un juez de un tribunal ordinario,47
Protección al consumidor,47
Religión oficial,47
Censos,46
Integración de comunidades étnicas,46
Referencia a la historia del país,46
Derecho de renunciar a la ciudadanía,45
Igualdad sin distinción de nacionalidad,45
Facultad de decreto del jefe de gobierno,44
Inmunidad del jefe de gobierno,44
Derecho a un mercado competitivo,42
Garantías de debido proceso,42
Condiciones para revocar la ciudadanía,41
Igualdad sin distinción de estatus financiero,41
Planes económicos,41
Derecho a un estándar razonable de vida,38
Igualdad de personas con discapacidades,38
Comisión de derechos humanos,35
Publicación de deliberaciones,35
Remoción de un juez del Tribunal Constitucional,35
Derecho al matrimonio,34
Lema nacional,34
Comisión de telecomunicaciones,33
Cuotas de representación en la primera cámara,33
Límite a los periodos de los representantes de la primera cámara,33
Derecho de transferencia de propiedad,32
Jurados obligatorios,32
Redistribución de la riqueza,32
Súper-mayoría necesaria para aprobar legislación,32
Financiamiento de campañas,31
Anexión de territorio,30
Duración del cargo de Jefe de Estado,30
Derecho al desarrollo de la personalidad,29
Facultad para deportar a ciudadanos,29
Operación estatal de los medios,29
Regulación de partidos políticos,29
Derechos de los deudores,28
Privilegios para menores de edad en procesos criminales,28
Tribunales para juzgar a servidores públicos,28
Derecho a la autodeterminación,26
Terrorismo,26
Intelectuales políticos y personajes históricos,25
Precedente judicial,25
Protección de derechos de las víctimas,25
Igualdad sin distinción de origen familiar,24
Opiniones de la Corte Suprema,24
Edad mínima de los jueces que forman parte del Tribunal Constitucional,23
Límite a los periodos de los jueces en tribunales ordinarios,23
Requisito de publicidad de las remuneraciones,23
Secreto del votos legislativo,23
Igualdad sin distinción de edad,22
Programación de elecciones,22
Límite a los periodos de los representantes de la segunda cámara,21
Restricciones de entrada y salida,21
Comisión anti-corrupción,20
Estatus del derecho canónico (religioso),20
Declaración de independencia del ejecutivo,19
Derecho al trabajo,19
Derecho de amparo,19
Derecho a disfrutar los beneficios de la ciencia,18
Duración de un juez de un tribunal administrativo,18
Igualdad sin distinción de tribu o clan,18
Establece la posibilidad de matrimonio civil,17
Voto obligatorio,16
Restricciones a derechos de grupos,15
Edad mínima de los jueces que forman parte de los tribunales ordinarios,14
Opiniones del Tribunal Constitucional,14
Derechos de los indígenas a auto-gobierno,13
Establecimiento de tribunales laborales,13
Derecho a derrocar un gobierno,12
Derechos de los indígenas a ser representados,12
Prohibición de castigos corporales,12
Crímenes del régimen previo,10
Duración de un juez del Tribunal Electoral,10
Establecimiento de tribunales eclesiásticos,10
Límite a los periodos de los jueces en tribunales administrativos,10
Límites a los periodos de jefe de gobierno,8
Partidos políticos predilectos/preferidos,8
Requisitos de los jueces del Tribunal Electoral,8
Edad mínima de los jueces que forman parte del Tribunal Electoral,7
Igualdad sin distinción de orientación sexual,7
Edad mínima de los jueces que forman parte de tribunales administrativos,6
Estatus fiscal de organizaciones religiosas,6
Nacionalidad de los grupos indígenas,6
Comisión de verdad y reconciliación,5
Derechos de los indígenas al voto,5
Límite a los periodos de los jueces en el Tribunal Electoral,5
Registro público de prisiones,4
Derecho de portar armas,3
Establecimiento de tribunales tributarios,3
Colonias,2
Derecho de indígenas a actividades ilegales,2
Derechos de indígenas a partidos políticos,2
Derechos de los indígenas a no pagar impuestos,1
Establecimiento de tribunales de amparo,1
