nombrePais,año
Chile,1811
Chile,1812
Chile,1814
Chile,1818
República Dominicana,1821
Chile,1822
Chile,1823
Chile,1826
Chile,1828
Chile,1833
República Dominicana,1844
República Dominicana,1854
República Dominicana,1858
República Dominicana,1865
República Dominicana,1866
República Dominicana,1868
República Dominicana,1872
República Dominicana,1874
República Dominicana,1875
República Dominicana,1877
República Dominicana,1878
República Dominicana,1879
República Dominicana,1880
República Dominicana,1881
República Dominicana,1887
República Dominicana,1896
República Dominicana,1907
República Dominicana,1908
República Dominicana,1924
Chile,1925
República Dominicana,1927
República Dominicana,1929
República Dominicana,1934
República Dominicana,1942
República Dominicana,1947
República Dominicana,1955
República Dominicana,1961
República Dominicana,1962
República Dominicana,1963
República Dominicana,1966
Chile,1980
República Dominicana,1994
República Dominicana,2002
República Dominicana,2010
República Dominicana,2015
